,Enzyme Common Name,,EnzymeId,BioCyn ID
9975,ORF,primary,,FBGN0036781-MONOMER
9976,ORF,primary,,FBGN0052262-MONOMER
9977,metalloendopeptidase inhibitor activity//protein binding,primary,,FBGN0025879-MONOMER
9978,endopeptidase activity//threonine endopeptidase activity,primary,,FBGN0250746-MONOMER
9979,ORF,primary,,FBGN0035359-MONOMER
9980,calcium ion binding,primary,,FBGN0039054-MONOMER
9981,protein binding,primary,,FBGN0035656-MONOMER
9982,serine-type endopeptidase activity,primary,,FBGN0052260-MONOMER
9983,ORF,primary,,FBGN0032804-MONOMER
9984,ORF,primary,,FBGN0036599-MONOMER
9985,ORF,primary,,FBGN0040793-MONOMER
9986,ORF,primary,,FBGN0032105-MONOMER
9987,ORF,primary,,FBGN0035880-MONOMER
9988,ORF,primary,,FBGN0051303-MONOMER
9989,nucleic acid binding,primary,,FBGN0039018-MONOMER
9990,ORF,primary,,FBGN0030625-MONOMER
9991,oxygen binding//heme binding//iron ion binding,primary,,FBGN0037385-MONOMER
9992,ORF,primary,,FBGN0037128-MONOMER
9993,ORF,primary,,FBGN0039636-MONOMER
9994,ORF,primary,,FBGN0032971-MONOMER
9995,protein serine/threonine kinase activity,primary,1451,FBGN0034378-MONOMER
9996,ORF,primary,,FBGN0050428-MONOMER
9997,guanylate cyclase activity,primary,1150,FBGN0013973-MONOMER
9998,"ATPase activity, coupled to transmembrane movement of substances",primary,641,FBGN0000241-MONOMER
9999,ORF,primary,,FBGN0085496-MONOMER
10000,ORF,primary,,FBGN0038908-MONOMER
10001,ORF,primary,,FBGN0085599-MONOMER
10002,ORF,primary,,FBGN0050479-MONOMER
10003,ORF,primary,,FBGN0053724-MONOMER
10004,alkaline phosphatase activity,primary,675,FBGN0014458-MONOMER
10005,catalytic activity//structural molecule activity,primary,,FBGN0030828-MONOMER
10006,binding//oxidoreductase activity,primary,,FBGN0031630-MONOMER
10007,transcription factor activity,primary,,FBGN0011277-MONOMER
10008,ORF,primary,,FBGN0032312-MONOMER
10009,"transferase activity, transferring acyl groups",primary,,FBGN0035265-MONOMER
10010,trypsin activity,primary,823,FBGN0038485-MONOMER
10011,ORF,primary,,FBGN0035163-MONOMER
10012,ORF,primary,,FBGN0034400-MONOMER
10013,ORF,primary,,FBGN0032966-MONOMER
10014,ORF,primary,,FBGN0051897-MONOMER
10015,ORF,primary,,FBGN0085594-MONOMER
10016,ORF,primary,,FBGN0030275-MONOMER
10017,ORF,primary,,FBGN0067628-MONOMER
10018,"hydrogen-exporting ATPase activity, phosphorylative mechanism",primary,1338,FBGN0034081-MONOMER
10019,ORF,primary,,FBGN0038051-MONOMER
10020,ORF,primary,,FBGN0085593-MONOMER
10021,mRNA binding//iron ion binding,primary,,FBGN0017592-MONOMER
10022,"calcium, potassium:sodium antiporter activity",primary,,FBGN0028704-MONOMER
10023,protein serine/threonine kinase activity,primary,1451,FBGN0002413-MONOMER
10024,microtubule binding//protein binding,primary,,FBGN0259173-MONOMER
10025,NADH dehydrogenase (ubiquinone) activity,primary,32,FBGN0013685-MONOMER
10026,steroid binding,primary,,FBGN0050016-MONOMER
10027,ubiquitin-protein ligase activity,primary,1480,FBGN0030600-MONOMER
10028,DNA binding,primary,,FBGN0053818-MONOMER
10029,oxidoreductase activity//nucleic acid binding//endonuclease activity,primary,,FBGN0032910-MONOMER
10030,endopeptidase activity//threonine endopeptidase activity,primary,,FBGN0023174-MONOMER
10031,ORF,primary,,FBGN0027547-MONOMER
10032,calcium ion binding,primary,,FBGN0083228-MONOMER
10033,structural constituent of ribosome,primary,,FBGN0031651-MONOMER
10034,mRNA binding,primary,,FBGN0001405-MONOMER
10035,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+) activity,primary,1152,FBGN0002719-MONOMER
10036,binding//steroid dehydrogenase activity,primary,,FBGN0051810-MONOMER
10037,nucleotide binding,primary,,FBGN0083962-MONOMER
10038,ligase activity//protein binding//zinc ion binding,primary,,FBGN0259794-MONOMER
10039,DNA binding,primary,,FBGN0038472-MONOMER
10040,vitamin-K-epoxide reductase (warfarin-sensitive) activity,primary,316,FBGN0053544-MONOMER
10041,chloride channel activity,primary,,FBGN0033755-MONOMER
10042,X-Pro aminopeptidase activity,primary,663,FBGN0031093-MONOMER
10043,ORF,primary,,FBGN0000928-MONOMER
10044,"3',5'-cyclic-GMP phosphodiesterase activity",primary,667,FBGN0259171-MONOMER
10045,ORF,primary,,FBGN0035041-MONOMER
10046,mRNA 3'-UTR binding//single-stranded DNA binding//nucleotide binding//mRNA binding//mRNA 5'-UTR binding,primary,,FBGN0004838-MONOMER
10047,ORF,primary,,FBGN0052569-MONOMER
10048,ORF,primary,,FBGN0034311-MONOMER
10049,protein binding,primary,,FBGN0050357-MONOMER
10050,trypsin activity,primary,823,FBGN0034221-MONOMER
10051,phosphatidylinositol transporter activity,primary,,FBGN0027872-MONOMER
10052,P-P-bond-hydrolysis-driven protein transmembrane transporter activity,primary,,FBGN0033357-MONOMER
10053,ORF,primary,,FBGN0033640-MONOMER
10054,ORF,primary,,FBGN0038583-MONOMER
10055,mRNA binding,primary,,FBGN0039215-MONOMER
10056,ion channel activity,primary,,FBGN0036414-MONOMER
10057,carboxylesterase activity,primary,1121,FBGN0033943-MONOMER
10058,ORF,primary,,FBGN0085506-MONOMER
10059,vinculin binding,primary,,FBGN0033504-MONOMER
10060,protein binding,primary,,FBGN0030144-MONOMER
10061,RNA-directed DNA polymerase activity,primary,1381,FBGN0025875-MONOMER
10062,ORF,primary,,FBGN0040940-MONOMER
10063,DNA binding,primary,,FBGN0053851-MONOMER
10064,ORF,primary,,FBGN0031306-MONOMER
10065,fumarate hydratase activity,primary,1292,FBGN0051874-MONOMER
10066,binding,primary,,FBGN0037644-MONOMER
10067,galactosyltransferase activity,primary,357,FBGN0030984-MONOMER
10068,sodium:potassium-exchanging ATPase activity,primary,628,FBGN0040037-MONOMER
10069,phosphatidylcholine transmembrane transporter activity,primary,,FBGN0032513-MONOMER
10070,binding,primary,,FBGN0036688-MONOMER
10071,gamma-glutamyl hydrolase activity,primary,371,FBGN0052154-MONOMER
10072,ATP binding//aminoacyl-tRNA ligase activity,primary,,FBGN0028481-MONOMER
10073,protease inhibitor activity//serine-type endopeptidase inhibitor activity,primary,,FBGN0031563-MONOMER
10074,ORF,primary,,FBGN0085536-MONOMER
10075,sequence-specific DNA binding//transcription factor activity//protein dimerization activity//protein homodimerization activity,primary,,FBGN0033010-MONOMER
10076,peptidyl-dipeptidase A activity,primary,1295,FBGN0012037-MONOMER
10077,histone-lysine N-methyltransferase activity,primary,229,FBGN0030486-MONOMER
10078,sequence-specific DNA binding//transcription factor activity,primary,,FBGN0053980-MONOMER
10079,helicase activity//DNA binding//ATP binding,primary,,FBGN0086613-MONOMER
10080,ORF,primary,,FBGN0036350-MONOMER
10081,transcription factor activity//sequence-specific DNA binding//specific RNA polymerase II transcription factor activity//zinc ion binding,primary,,FBGN0002023-MONOMER
10082,protein phosphatase type 2A regulator activity,primary,,FBGN0052568-MONOMER
10083,ORF,primary,,FBGN0051241-MONOMER
10084,asparagine synthase (glutamine-hydrolyzing) activity,primary,1001,FBGN0041607-MONOMER
10085,N-acetyltransferase activity,primary,,FBGN0040376-MONOMER
10086,binding,primary,,FBGN0031006-MONOMER
10087,ORF,primary,,FBGN0259483-MONOMER
10088,carboxypeptidase A activity,primary,1442,FBGN0033774-MONOMER
10089,glutamine-tRNA ligase activity,primary,1425,FBGN0027090-MONOMER
10090,ORF,primary,,FBGN0051093-MONOMER
10091,carnitine transporter activity,primary,,FBGN0063649-MONOMER
10092,protein serine/threonine kinase activity,primary,1488,FBGN0031730-MONOMER
10093,ORF,primary,,FBGN0034288-MONOMER
10094,protein transporter activity//protein binding,primary,,FBGN0015567-MONOMER
10095,protein binding,primary,,FBGN0034655-MONOMER
10096,ORF,primary,,FBGN0001120-MONOMER
10097,"electron carrier activity//oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",primary,,FBGN0039177-MONOMER
10098,ORF,primary,,FBGN0027527-MONOMER
10099,"hydrogen-exporting ATPase activity, phosphorylative mechanism",primary,1338,FBGN0003676-MONOMER
10100,protein binding//structural molecule activity,primary,,FBGN0002525-MONOMER
10101,zinc ion binding,primary,,FBGN0037446-MONOMER
10102,ionotropic glutamate receptor activity//extracellular-glutamate-gated ion channel activity//kainate selective glutamate receptor activity,primary,,FBGN0038837-MONOMER
10103,ligand-dependent nuclear receptor activity//sequence-specific DNA binding//transcription factor activity//steroid hormone receptor activity//zinc ion binding,primary,,FBGN0015381-MONOMER
10104,transporter activity,primary,,FBGN0051106-MONOMER
10105,alanine-glyoxylate transaminase activity,primary,212,FBGN0037186-MONOMER
10106,ORF,primary,,FBGN0036476-MONOMER
10107,DNA binding//transcription factor activity,primary,,FBGN0001206-MONOMER
10108,zinc ion binding,primary,,FBGN0037923-MONOMER
10109,protein binding//RNA cap binding,primary,,FBGN0022942-MONOMER
10110,taste receptor activity,primary,,FBGN0041245-MONOMER
10111,glucose-6-phosphate dehydrogenase activity,primary,579,FBGN0004057-MONOMER
10112,ORF,primary,,FBGN0054011-MONOMER
10113,ORF,primary,,FBGN0029681-MONOMER
10114,DNA binding,primary,,FBGN0024507-MONOMER
10115,ORF,primary,,FBGN0037519-MONOMER
10116,ORF,primary,,FBGN0030272-MONOMER
10117,epidermal growth factor binding,primary,,FBGN0015399-MONOMER
10118,peptide receptor activity//electron carrier activity//G-protein coupled receptor activity//copper ion binding//neuropeptide receptor activity//growth hormone-releasing hormone receptor activity,primary,,FBGN0038139-MONOMER
10119,ORF,primary,,FBGN0032957-MONOMER
10120,ORF,primary,,FBGN0037578-MONOMER
10121,zinc ion binding//nucleic acid binding,primary,,FBGN0024887-MONOMER
10122,ORF,primary,,FBGN0038394-MONOMER
10123,ORF,primary,,FBGN0085540-MONOMER
10124,protein serine/threonine phosphatase activity,primary,,FBGN0036212-MONOMER
10125,ORF,primary,,FBGN0058189-MONOMER
10126,cAMP-dependent protein kinase activity,primary,1445,FBGN0000273-MONOMER
10127,ORF,primary,,FBGN0037184-MONOMER
10128,nucleoside-triphosphatase activity,primary,669,FBGN0036892-MONOMER
10129,acetyl-CoA C-acyltransferase activity,primary,86,FBGN0017647-MONOMER
10130,ORF,primary,,FBGN0031650-MONOMER
10131,transcription factor activity,primary,,FBGN0052601-MONOMER
10132,ORF,primary,,FBGN0053181-MONOMER
10133,glucose 6-phosphate:phosphate antiporter activity,primary,,FBGN0031183-MONOMER
10134,ORF,primary,,FBGN0039266-MONOMER
10135,ORF,primary,,FBGN0052988-MONOMER
10136,syntaxin-1 binding,primary,,FBGN0030412-MONOMER
10137,DNA binding//protein binding//transcription coactivator activity//zinc ion binding,primary,,FBGN0042085-MONOMER
10138,zinc ion binding,primary,,FBGN0039367-MONOMER
10139,ORF,primary,,FBGN0034097-MONOMER
10140,binding,primary,,FBGN0037371-MONOMER
10141,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,,FBGN0013771-MONOMER
10142,endodeoxyribonuclease activity//nucleic acid binding,primary,,FBGN0033690-MONOMER
10143,Rho guanyl-nucleotide exchange factor activity,primary,,FBGN0024277-MONOMER
10144,DNA binding//structural constituent of cytoskeleton//tubulin binding//endonuclease activity,primary,,FBGN0026431-MONOMER
10145,ORF,primary,,FBGN0040009-MONOMER
10146,carbonate dehydratase activity,primary,168,FBGN0029962-MONOMER
10147,ORF,primary,,FBGN0033608-MONOMER
10148,ORF,primary,,FBGN0036761-MONOMER
10149,membrane alanyl aminopeptidase activity,primary,1041,FBGN0015715-MONOMER
10150,ORF,primary,,FBGN0039727-MONOMER
10151,ORF,primary,,FBGN0039705-MONOMER
10152,gamma-glutamyl carboxylase activity,primary,,FBGN0035245-MONOMER
10153,protein binding//actin binding,primary,,FBGN0038475-MONOMER
10154,transporter activity,primary,,FBGN0036068-MONOMER
10155,ORF,primary,,FBGN0038248-MONOMER
10156,hydroxymethylbilane synthase activity,primary,824,FBGN0010786-MONOMER
10157,ORF,primary,,FBGN0031176-MONOMER
10158,ORF,primary,,FBGN0029594-MONOMER
10159,transporter activity,primary,848,FBGN0029896-MONOMER
10160,alkaline phosphatase activity,primary,675,FBGN0043791-MONOMER
10161,ORF,primary,,FBGN0040801-MONOMER
10162,ORF,primary,,FBGN0035855-MONOMER
10163,ORF,primary,,FBGN0033787-MONOMER
10164,olfactory receptor activity//odorant binding//protein binding//protein homodimerization activity,primary,,FBGN0037324-MONOMER
10165,ORF,primary,,FBGN0052823-MONOMER
10166,ORF,primary,,FBGN0014163-MONOMER
10167,ORF,primary,,FBGN0086266-MONOMER
10168,ORF,primary,,FBGN0038577-MONOMER
10169,ORF,primary,,FBGN0085307-MONOMER
10170,ORF,primary,,FBGN0040647-MONOMER
10171,elastase activity,primary,1328,FBGN0035661-MONOMER
10172,ORF,primary,,FBGN0033812-MONOMER
10173,ORF,primary,,FBGN0035415-MONOMER
10174,"binding//oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",primary,,FBGN0031206-MONOMER
10175,alkaline phosphatase activity,primary,675,FBGN0033423-MONOMER
10176,protein binding,primary,,FBGN0038339-MONOMER
10177,thymidylate synthase (FAD) activity,primary,1273,FBGN0034261-MONOMER
10178,ORF,primary,,FBGN0052244-MONOMER
10179,ORF,primary,,FBGN0031751-MONOMER
10180,cytochrome-c oxidase activity,primary,1456,FBGN0031066-MONOMER
10181,heparin-glucosamine 3-O-sulfotransferase activity,primary,643,FBGN0053147-MONOMER
10182,ORF,primary,,FBGN0053481-MONOMER
10183,catalytic activity//protein binding//phosphoinositide binding,primary,,FBGN0027574-MONOMER
10184,SNAP receptor activity,primary,,FBGN0036643-MONOMER
10185,mannosyltransferase activity,primary,864,FBGN0011297-MONOMER
10186,endopeptidase activity//threonine endopeptidase activity,primary,,FBGN0032492-MONOMER
10187,nucleic acid binding,primary,,FBGN0031484-MONOMER
10188,neprilysin activity,primary,211,FBGN0030425-MONOMER
10189,guanylate cyclase activity,primary,1150,FBGN0010197-MONOMER
10190,purine-nucleoside phosphorylase activity,primary,599,FBGN0035348-MONOMER
10191,ORF,primary,,FBGN0036780-MONOMER
10192,carboxypeptidase A activity,primary,1442,FBGN0035777-MONOMER
10193,odorant binding,primary,,FBGN0034769-MONOMER
10194,protein binding//zinc ion binding,primary,,FBGN0034546-MONOMER
10195,ORF,primary,,FBGN0030237-MONOMER
10196,voltage-gated calcium channel activity,primary,,FBGN0028859-MONOMER
10197,sequence-specific DNA binding//transcription activator activity//transcription factor activity//protein homodimerization activity,primary,,FBGN0050420-MONOMER
10198,aryldialkylphosphatase activity,primary,47,FBGN0037683-MONOMER
10199,ORF,primary,,FBGN0033958-MONOMER
10200,serine-tRNA ligase activity,primary,1428,FBGN0031497-MONOMER
10201,protein serine/threonine kinase activity,primary,1451,FBGN0025743-MONOMER
10202,gamma-glutamyltransferase activity,primary,1498,FBGN0030796-MONOMER
10203,ORF,primary,,FBGN0039936-MONOMER
10204,ORF,primary,,FBGN0036439-MONOMER
10205,protein serine/threonine kinase activity,primary,1451,FBGN0027569-MONOMER
10206,GTPase activity,primary,1171,FBGN0039566-MONOMER
10207,ORF,primary,,FBGN0030499-MONOMER
10208,neuropeptide hormone activity//receptor binding,primary,,FBGN0037976-MONOMER
10209,structural constituent of chorion,primary,,FBGN0041252-MONOMER
10210,catalytic activity,primary,,FBGN0051717-MONOMER
10211,ORF,primary,,FBGN0259823-MONOMER
10212,serine-type peptidase activity,primary,1232,FBGN0030669-MONOMER
10213,SNAP receptor activity,primary,,FBGN0036341-MONOMER
10214,polyribonucleotide nucleotidyltransferase activity,primary,1386,FBGN0014418-MONOMER
10215,adenosine deaminase activity,primary,115,FBGN0036752-MONOMER
10216,ORF,primary,,FBGN0034724-MONOMER
10217,ORF,primary,,FBGN0052987-MONOMER
10218,ornithine decarboxylase activity,primary,327,FBGN0013307-MONOMER
10219,ORF,primary,,FBGN0036882-MONOMER
10220,aminomethyltransferase activity,primary,1484,FBGN0032287-MONOMER
10221,alpha-glucosidase activity,primary,40,FBGN0022707-MONOMER
10222,hydrolase activity,primary,,FBGN0030528-MONOMER
10223,ORF,primary,,FBGN0053927-MONOMER
10224,structural constituent of ribosome,primary,,FBGN0042112-MONOMER
10225,binding,primary,,FBGN0031142-MONOMER
10226,protein binding,primary,,FBGN0038119-MONOMER
10227,ORF,primary,,FBGN0039554-MONOMER
10228,X-Pro aminopeptidase activity,primary,1019,FBGN0000455-MONOMER
10229,membrane alanyl aminopeptidase activity,primary,1041,FBGN0030222-MONOMER
10230,ORF,primary,,FBGN0040694-MONOMER
10231,ARF guanyl-nucleotide exchange factor activity//guanyl-nucleotide exchange factor activity,primary,,FBGN0033714-MONOMER
10232,ORF,primary,,FBGN0039947-MONOMER
10233,ORF,primary,,FBGN0030665-MONOMER
10234,ORF,primary,,FBGN0037087-MONOMER
10235,"hydrolase activity, acting on ester bonds",primary,,FBGN0037898-MONOMER
10236,CAAX-protein geranylgeranyltransferase activity,primary,394,FBGN0015000-MONOMER
10237,DNA-directed RNA polymerase activity,primary,1393,FBGN0039218-MONOMER
10238,nucleic acid binding,primary,,FBGN0034008-MONOMER
10239,"2 iron, 2 sulfur cluster binding",primary,,FBGN0062442-MONOMER
10240,serine-type endopeptidase activity,primary,,FBGN0053160-MONOMER
10241,NADH dehydrogenase activity,primary,1214,FBGN0039669-MONOMER
10242,ORF,primary,,FBGN0037809-MONOMER
10243,acyl-CoA dehydrogenase activity,primary,248,FBGN0038742-MONOMER
10244,ORF,primary,,FBGN0051998-MONOMER
10245,DNA binding,primary,,FBGN0013301-MONOMER
10246,heat shock protein binding,primary,,FBGN0030805-MONOMER
10247,ORF,primary,,FBGN0034840-MONOMER
10248,ORF,primary,,FBGN0011476-MONOMER
10249,DNA binding,primary,,FBGN0053846-MONOMER
10250,procollagen-proline 4-dioxygenase activity,primary,833,FBGN0039780-MONOMER
10251,ORF,primary,,FBGN0085621-MONOMER
10252,ORF,primary,,FBGN0030376-MONOMER
10253,ORF,primary,,FBGN0029957-MONOMER
10254,ORF,primary,,FBGN0003950-MONOMER
10255,ORF,primary,,FBGN0085271-MONOMER
10256,phenylalanine-tRNA ligase activity,primary,1418,FBGN0011749-MONOMER
10257,ORF,primary,,FBGN0034856-MONOMER
10258,gamma-tubulin binding//microtubule binding//microtubule minus-end binding,primary,,FBGN0001612-MONOMER
10259,transcription coactivator activity//transcription factor activity,primary,,FBGN0039904-MONOMER
10260,ORF,primary,,FBGN0032175-MONOMER
10261,ORF,primary,,FBGN0032627-MONOMER
10262,DNA binding//zinc ion binding,primary,,FBGN0259785-MONOMER
10263,protein disulfide isomerase activity,primary,1434,FBGN0036579-MONOMER
10264,neprilysin activity,primary,211,FBGN0039564-MONOMER
10265,ATP-dependent helicase activity,primary,641,FBGN0015703-MONOMER
10266,transporter activity//structural constituent of chitin-based cuticle,primary,,FBGN0086519-MONOMER
10267,carbonate dehydratase activity,primary,168,FBGN0022706-MONOMER
10268,estradiol 17-beta-dehydrogenase activity,primary,98,FBGN0030731-MONOMER
10269,ORF,primary,,FBGN0040348-MONOMER
10270,pyridoxal phosphate binding//protein binding//carboxy-lyase activity,primary,,FBGN0038531-MONOMER
10271,binding,primary,,FBGN0012058-MONOMER
10272,transcription termination factor activity//DNA binding,primary,,FBGN0028530-MONOMER
10273,DNA binding,primary,,FBGN0023509-MONOMER
10274,structural molecule activity,primary,,FBGN0024753-MONOMER
10275,ORF,primary,,FBGN0034861-MONOMER
10276,ORF,primary,,FBGN0085660-MONOMER
10277,aspartate-tRNA ligase activity,primary,1424,FBGN0051739-MONOMER
10278,ORF,primary,,FBGN0259224-MONOMER
10279,ornithine-oxo-acid transaminase activity,primary,145,FBGN0022774-MONOMER
10280,ORF,primary,,FBGN0083970-MONOMER
10281,serine-type endopeptidase activity,primary,,FBGN0043471-MONOMER
10282,olfactory receptor activity//odorant binding,primary,,FBGN0033404-MONOMER
10283,MAP kinase kinase kinase activity,primary,1474,FBGN0046689-MONOMER
10284,sequence-specific DNA binding//DNA binding//transcription factor activity,primary,,FBGN0014949-MONOMER
10285,DNA binding,primary,,FBGN0053826-MONOMER
10286,RNA polymerase II transcription factor activity//zinc ion binding,primary,,FBGN0005771-MONOMER
10287,ORF,primary,,FBGN0033249-MONOMER
10288,protein binding//SNARE binding,primary,,FBGN0000257-MONOMER
10289,odorant binding,primary,,FBGN0034509-MONOMER
10290,binding,primary,,FBGN0037741-MONOMER
10291,ORF,primary,,FBGN0031671-MONOMER
10292,mRNA binding,primary,,FBGN0051184-MONOMER
10293,ORF,primary,,FBGN0037410-MONOMER
10294,protein serine/threonine kinase activity,primary,1451,FBGN0037491-MONOMER
10295,cysteine protease inhibitor activity,primary,,FBGN0030105-MONOMER
10296,methionine-tRNA ligase activity,primary,1423,FBGN0015719-MONOMER
10297,structural constituent of ribosome,primary,,FBGN0039857-MONOMER
10298,"electron carrier activity//heme binding//oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen//iron ion binding",primary,,FBGN0034756-MONOMER
10299,metalloendopeptidase activity//zinc ion binding,primary,,FBGN0086408-MONOMER
10300,sodium channel auxiliary protein activity,primary,,FBGN0035505-MONOMER
10301,zinc ion binding,primary,,FBGN0039366-MONOMER
10302,ORF,primary,,FBGN0050109-MONOMER
10303,binding,primary,,FBGN0027509-MONOMER
10304,ORF,primary,,FBGN0052274-MONOMER
10305,phosphoribosylaminoimidazolecarboxamide formyltransferase activity,primary,1145,FBGN0039241-MONOMER
10306,peptidyl-prolyl cis-trans isomerase activity,primary,366,FBGN0010470-MONOMER
10307,nucleic acid binding,primary,,FBGN0034098-MONOMER
10308,ORF,primary,,FBGN0033650-MONOMER
10309,ORF,primary,,FBGN0052452-MONOMER
10310,glucose transmembrane transporter activity,primary,,FBGN0034045-MONOMER
10311,protein binding,primary,,FBGN0038853-MONOMER
10312,protein binding//zinc ion binding//nucleic acid binding,primary,,FBGN0029152-MONOMER
10313,nucleotide binding//mRNA binding//nucleic acid binding,primary,,FBGN0011305-MONOMER
10314,mannose-6-phosphate isomerase activity,primary,1291,FBGN0022387-MONOMER
10315,ORF,primary,,FBGN0053482-MONOMER
10316,kinase activity,primary,1510,FBGN0050274-MONOMER
10317,ORF,primary,,FBGN0037986-MONOMER
10318,protein kinase activity//protein kinase CK2 regulator activity,primary,,FBGN0026136-MONOMER
10319,chromatin binding,primary,,FBGN0015021-MONOMER
10320,ORF,primary,,FBGN0045471-MONOMER
10321,unfolded protein binding,primary,,FBGN0028860-MONOMER
10322,membrane alanyl aminopeptidase activity,primary,1041,FBGN0259237-MONOMER
10323,serine-type endopeptidase inhibitor activity,primary,,FBGN0031564-MONOMER
10324,ORF,primary,,FBGN0040799-MONOMER
10325,ORF,primary,,FBGN0030249-MONOMER
10326,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338,FBGN0035585-MONOMER
10327,ORF,primary,,FBGN0031598-MONOMER
10328,ubiquitin thiolesterase activity,primary,1532,FBGN0028476-MONOMER
10329,ORF,primary,,FBGN0058169-MONOMER
10330,ORF,primary,,FBGN0085298-MONOMER
10331,low-density lipoprotein receptor activity//calcium ion binding,primary,,FBGN0051092-MONOMER
10332,ORF,primary,,FBGN0037082-MONOMER
10333,signal transducer activity//transcription coactivator activity//steroid hormone receptor binding//ligand-dependent nuclear receptor transcription coactivator activity,primary,,FBGN0041092-MONOMER
10334,ORF,primary,,FBGN0040679-MONOMER
10335,unfolded protein binding//heat shock protein binding,primary,,FBGN0004179-MONOMER
10336,DNA topoisomerase type I activity,primary,1017,FBGN0040268-MONOMER
10337,hydrolase activity,primary,,FBGN0050320-MONOMER
10338,carboxylesterase activity,primary,1121,FBGN0001987-MONOMER
10339,microtubule binding//microtubule motor activity//protein kinase binding//ATP binding//motor activity//protein binding//smoothened binding,primary,,FBGN0000352-MONOMER
10340,ORF,primary,,FBGN0032008-MONOMER
10341,ubiquitin-protein ligase activity,primary,1480,FBGN0029983-MONOMER
10342,ATP-dependent RNA helicase activity,primary,641,FBGN0034496-MONOMER
10343,ORF,primary,,FBGN0044419-MONOMER
10344,protein phosphatase inhibitor activity,primary,,FBGN0028429-MONOMER
10345,actin binding,primary,,FBGN0011570-MONOMER
10346,structural constituent of adult chitin-based cuticle//structural constituent of chitin-based cuticle,primary,,FBGN0020765-MONOMER
10347,ORF,primary,,FBGN0040334-MONOMER
10348,ORF,primary,,FBGN0051675-MONOMER
10349,copper uptake transmembrane transporter activity//copper ion transmembrane transporter activity,primary,,FBGN0062412-MONOMER
10350,ORF,primary,,FBGN0085400-MONOMER
10351,ORF,primary,,FBGN0033124-MONOMER
10352,beta-glucuronidase activity,primary,251,FBGN0034417-MONOMER
10353,ORF,primary,,FBGN0038769-MONOMER
10354,ORF,primary,,FBGN0032385-MONOMER
10355,ORF,primary,,FBGN0085544-MONOMER
10356,diacylglycerol kinase activity,primary,1003,FBGN0085413-MONOMER
10357,ORF,primary,,FBGN0085227-MONOMER
10358,ORF,primary,,FBGN0036777-MONOMER
10359,ORF,primary,,FBGN0027055-MONOMER
10360,ORF,primary,,FBGN0085305-MONOMER
10361,protein binding//zinc ion binding,primary,,FBGN0002283-MONOMER
10362,ORF,primary,,FBGN0031644-MONOMER
10363,ubiquitin-protein ligase activity,primary,1480,FBGN0034970-MONOMER
10364,pyroglutamyl-peptidase I activity,primary,1489,FBGN0047178-MONOMER
10365,nuclear export signal receptor activity//binding//Ran GTPase binding//protein transporter activity,primary,,FBGN0053180-MONOMER
10366,ATP binding,primary,,FBGN0013279-MONOMER
10367,ORF,primary,,FBGN0030258-MONOMER
10368,structural constituent of chitin-based cuticle,primary,,FBGN0036880-MONOMER
10369,oxidoreductase activity,primary,,FBGN0050095-MONOMER
10370,ORF,primary,,FBGN0031381-MONOMER
10371,outward rectifier potassium channel activity,primary,,FBGN0038621-MONOMER
10372,choline dehydrogenase activity,primary,677,FBGN0030589-MONOMER
10373,structural constituent of ribosome,primary,,FBGN0038277-MONOMER
10374,peptidyl-prolyl cis-trans isomerase activity,primary,366,FBGN0050350-MONOMER
10375,carbonyl reductase (NADPH) activity,primary,590,FBGN0030026-MONOMER
10376,ORF,primary,,FBGN0039067-MONOMER
10377,ORF,primary,,FBGN0033732-MONOMER
10378,ORF,primary,,FBGN0085616-MONOMER
10379,unfolded protein binding//protein tyrosine kinase activator activity//chaperone binding,primary,,FBGN0011573-MONOMER
10380,IkappaB kinase activity,primary,1491,FBGN0041205-MONOMER
10381,ORF,primary,,FBGN0036066-MONOMER
10382,ORF,primary,,FBGN0028533-MONOMER
10383,catalytic activity,primary,,FBGN0051933-MONOMER
10384,GTPase activator activity,primary,1194,FBGN0259169-MONOMER
10385,ORF,primary,,FBGN0033772-MONOMER
10386,alanine-tRNA ligase activity,primary,1419,FBGN0029664-MONOMER
10387,ORF,primary,,FBGN0032938-MONOMER
10388,GTP binding,primary,,FBGN0050158-MONOMER
10389,ORF,primary,,FBGN0036945-MONOMER
10390,ORF,primary,,FBGN0058225-MONOMER
10391,ORF,primary,,FBGN0052598-MONOMER
10392,ORF,primary,,FBGN0029535-MONOMER
10393,unfolded protein binding//chaperone binding,primary,,FBGN0010741-MONOMER
10394,ORF,primary,,FBGN0030061-MONOMER
10395,ORF,primary,,FBGN0069951-MONOMER
10396,serine-type endopeptidase activity,primary,,FBGN0039495-MONOMER
10397,ORF,primary,,FBGN0036570-MONOMER
10398,ORF,primary,,FBGN0039120-MONOMER
10399,transcription elongation regulator activity//DNA binding//translation elongation factor activity//protein binding//RNA polymerase II transcription factor activity//zinc ion binding,primary,,FBGN0010422-MONOMER
